"Rs","T5","T10","Annual.Rs","Latitude","Longitude","Elevation","MAT","MAP","Forest.type","Longitude.1","Latitude.1","Year","Month"
2.05,17.31,16.21,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2012,4
2.47,19.48,18.43,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2012,5
3.18,20.95,19.91,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2012,6
2.68,21.8,20.96,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2012,7
2.28,22.19,21.19,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2012,8
2,19.56,18.82,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2012,9
2.07,16.82,15.93,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2013,4
2.7,17.24,16.21,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2013,5
3.32,20.11,18.99,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2013,6
4.4,22.44,21.55,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2013,7
3.14,23.93,22.47,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2013,8
2.89,18.84,18.54,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2013,9
3.65,18.8728541226216,15.5542857142857,946,29.78,106.34,825,13.6,1612,14,106.34,29.78,2010,7
3.77,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2010,8
3.26,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2010,9
2.9,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2010,10
2.19,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2010,11
1.87,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2010,12
1.85,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,3
2.43,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,4
2.94,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,5
3.53,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,6
3.81,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,7
2.71,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,8
2.98,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,9
2.47,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,10
2.28,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,11
1.55,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,12
3.58,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2012,4
3.75,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2012,5
5.54,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2012,6
7.78,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2012,7
6.08,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2012,8
4.31,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2012,9
1.13,18.8728541226216,15.5542857142857,1008.37,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,1
1.74,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,2
2.11,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,3
2.32,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,4
2.88,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,5
3.62,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,6
4.38,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,7
2.8,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,825,13.6,1612,14,106.34,29.78,2011,8
